score_diff,minutes_remaining,home_won
14,24.883333333333333,1
17,24.295,1
17,24.0,1
17,24.0,1
17,23.716666666666665,1
17,23.6,1
16,22.666666666666668,1
18,22.483333333333334,1
16,22.333333333333332,1
16,21.983333333333334,1
16,21.7,1
14,21.1,1
14,21.1,1
16,20.983333333333334,1
16,20.583333333333332,1
18,20.45,1
18,19.95,1
18,19.616666666666667,1
16,18.916666666666668,1
16,18.71666666666667,1
14,18.53333333333333,1
14,18.516666666666666,1
12,18.2,1
12,17.933333333333334,1
10,17.433333333333334,1
10,17.083333333333332,1
10,17.083333333333332,1
9,16.833333333333332,1
9,16.65,1
11,16.566666666666666,1
11,16.366666666666667,1
11,16.366666666666667,1
11,16.366666666666667,1
11,16.016666666666666,1
14,15.483333333333334,1
14,15.283333333333331,1
14,15.0,1
16,14.916666666666664,1
16,14.916666666666664,1
17,14.916666666666664,1
17,14.399999999999999,1
18,14.399999999999999,1
19,14.399999999999999,1
19,14.116666666666667,1
20,14.116666666666667,1
18,13.950000000000003,1
15,13.516666666666666,1
13,13.25,1
15,12.57,1
15,12.055,1
17,12.01166666666667,1
